 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194
E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), E major (4#), C# minor (4#), Ab major (4b), Ab major (4b), G# minor mel (5#), G# minor mel (5#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), E minor (1#), E minor (1#), C dorian (0), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), G# minor mel (5#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), F# minor (3#), E aeolian (4#), C# major (7#), A# minor mel (7#), G# minor mel (5#), Ab major (4b), G# minor mel (5#), C# minor mel (4#), E major (4#), E minor (1#), B minor (2#), F# major (6#), G# minor mel (5#), C# minor mel (4#), C# minor mel (4#), C# major (7#), F# major (6#), G# minor mel (5#), C# minor mel (4#), F# minor mel (3#), F# minor (3#), E minor (1#), G major (1#), G minor (2b), C minor (3b), D minor (1b), E minor (1#), C# minor (4#), E minor (1#), E minor (1#), A minor (0), E minor (1#), G minor (2b), G major (1#), G major (1#), E minor mel (1#), E major (4#), C# minor (4#), C# major (7#), A# minor mel (7#), G# minor mel (5#), Ab major (4b), C# minor (4#), E major (4#), E major (4#), A minor (0), A major (3#), F# minor (3#), E major (4#), C# minor (4#), Ab major (4b), G# minor mel (5#), G# minor mel (5#), G# minor (5#), C# minor (4#), F# minor mel (3#), A minor (0), E minor (1#), E minor (1#), G aeolian (1#), C# major (7#), C# major (7#), Ab major (4b), C# minor (4#), A major (3#), E minor (1#), A minor (0), E minor (1#), A minor (0), E minor (1#), G phrygian (1#), E minor mel (1#), E major (4#), E minor (1#), C dorian (0), E minor (1#), G# minor mel (5#), Ab major (4b), F# minor (3#), F# major (6#), F# major (6#), D# minor mel (6#), E major (4#), G# minor mel (5#), B minor (2#), C# minor mel (4#), D phrygian (2#), A minor (0), D minor (1b), E minor (1#), C# minor mel (4#), F# minor mel (3#), C dorian (0), A lydian (3#), F dorian (1b), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), C# minor mel (4#), A major (3#), B minor (2#), B major (5#), E major (4#), A minor (0), F# minor (3#), F# minor (3#), C# minor (4#), E major (4#), E minor (1#), E minor (1#), G# minor mel (5#), D# minor mel (6#), C major (0), A minor (0), C# minor (4#), E major (4#), E minor (1#), E major (4#), G# minor mel (5#), G# minor mel (5#), C# minor (4#), B minor (2#), G# minor mel (5#), C# major (7#), A# minor mel (7#), C# major (7#), C# major (7#), F# minor (3#), E minor (1#), D phrygian (2#), B minor (2#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), G# minor mel (5#), A major (3#), D major (2#), A major (3#), A major (3#), A minor (0), E minor (1#), G aeolian (1#), E major (4#), B minor (2#), E major (4#), C# minor mel (4#), G# minor mel (5#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), E major (4#), E minor (1#), B major (5#), D# minor mel (6#), G# minor mel (5#), G# minor mel (5#), Ab major (4b), C# minor mel (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#)
F minor (4b), Bb minor (5b), C# minor (4#), C# minor (4#), Ab major (4b), Ab major (4b), C# minor (4#), C# minor (4#), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), Eb phrygian (3b), Eb phrygian (3b), F minor (4b), C major (0), C major (0), C major (0), C minor (3b), F minor (4b), F minor mel (4b), Ab aeolian (4b), Ab aeolian (4b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), C major (0), Bb minor (5b), Ab minor (7b), Ab minor (7b), F minor (4b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Cb aeolian (7b), Ab major (4b), Eb minor (6b), F minor (4b), Eb phrygian (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Eb phrygian (3b), C minor (3b), F minor (4b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F major (1b), F major (1b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), F minor (4b), F major (1b), Bb minor (5b), Eb minor (6b), Cb aeolian (7b), F minor (4b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Cb aeolian (7b), Ab major (4b), Cb aeolian (7b), Ab major (4b), Ab minor (7b), Eb major (3b), Ab major (4b), Ab major (4b), F minor mel (4b), Bb minor mel (5b), F minor mel (4b), Ab aeolian (4b), F major (1b), C major (0), C major (0), C minor (3b), C minor (3b), Bb phrygian (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C major (0), F major (1b), F major (1b), G major (1#), F major (1b), F minor (4b), Ab minor (7b), Ab minor (7b), F minor mel (4b), C minor (3b), F minor (4b), C minor (3b), F major (1b), Ab aeolian (4b), Gb aeolian (6b), C minor (3b), A minor mel (0), C minor (3b), Bb phrygian (2b), Eb phrygian (3b), F minor (4b), F major (1b), F major (1b), C minor (3b), Bb phrygian (2b), F minor (4b), C minor (3b), C major (0), C minor (3b), C minor (3b), F minor (4b), F minor mel (4b), Ab aeolian (4b), Ab aeolian (4b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F minor (4b), C minor (3b), Eb minor (6b), Ab minor (7b), F minor (4b), C major (0), F minor (4b), F major (1b), F major (1b), F minor (4b), Ab major (4b), Cb aeolian (7b), Ab major (4b), Eb minor (6b), F minor (4b), Eb phrygian (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb phrygian (3b), Eb phrygian (3b), F minor (4b), C minor (3b), C minor mel (3b), F minor mel (4b), F minor mel (4b), F minor mel (4b), F minor mel (4b), Eb phrygian (3b), C minor (3b), G minor (2b), F major (1b), C major (0), C major (0), F major (1b), G minor mel (2b), Bb major (2b), Bb minor (5b), Ab minor (7b), Ab minor (7b), F minor (4b), F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Cb aeolian (7b), Ab major (4b), Eb minor (6b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b)
C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#), Ab major (4b), Ab major (4b), C# minor (4#), C# minor (4#), Ab major (4b), Ab major (4b), C# major (7#), C# major (7#), A# minor mel (7#), G# minor mel (5#), C# minor mel (4#), E minor (1#), E minor (1#), C dorian (0), E minor (1#), G# minor mel (5#), D# minor (6#), Ab major (4b), Ab major (4b), F# minor (3#), B minor (2#), E minor (1#), E major (4#), A major (3#), B minor (2#), E minor (1#), C# minor (4#), F# minor (3#), E aeolian (4#), C# major (7#), A# minor (7#), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), C# minor (4#), E minor (1#), F# minor (3#), C# major (7#), A# minor mel (7#), C# major (7#), C# major (7#), Ab major (4b), Ab major (4b), Ab major (4b), C# minor (4#), F# minor (3#), F# minor (3#), E minor (1#), G major (1#), Bb major (2b), Ab major (4b), Ab mixolydian (4b), E aeolian (4#), C# minor (4#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), G aeolian (1#), E major (4#), E major (4#), C# minor (4#), C# major (7#), A# minor (7#), Ab major (4b), Ab major (4b), C# minor (4#), B phrygian (5#), B phrygian (5#), Ab mixolydian (4b), E aeolian (4#), C# major (7#), G# minor (5#), C# minor (4#), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), C# minor (4#), F# minor mel (3#), A minor (0), E minor (1#), E minor (1#), Bb major (2b), Ab major (4b), Ab major (4b), Ab major (4b), C# minor (4#), F# minor (3#), E minor (1#), G aeolian (1#), E major (4#), G aeolian (1#), E major (4#), F# minor (3#), B minor (2#), E major (4#), E major (4#), B minor (2#), F# major (6#), C# major (7#), Ab major (4b), F# minor (3#), F# major (6#), F# major (6#), Ab mixolydian (4b), E aeolian (4#), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Bb major (2b), Eb major (3b), Ab major (4b), E dorian (4#), G# minor mel (5#), B minor (2#), C# minor (4#), Eb major (3b), Ab major (4b), G# minor mel (5#), D# minor (6#), G# minor mel (5#), C# minor mel (4#), F# minor (3#), B minor (2#), B major (5#), E major (4#), A minor (0), F# minor (3#), F# minor (3#), C# minor (4#), E major (4#), E minor (1#), E minor (1#), G# minor mel (5#), F minor mel (4b), F minor mel (4b), Ab major (4b), C# minor (4#), E aeolian (4#), A# minor mel (7#), F# major (6#), C# major (7#), A# minor mel (7#), C# major (7#), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F# minor (3#), E minor (1#), G major (1#), Bb major (2b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F# minor (3#), A phrygian (3#), B phrygian (5#), B phrygian (5#), D phrygian (2#), E minor (1#), G aeolian (1#), C# minor (4#), F# minor (3#), A dorian (3#), C# minor mel (4#), G# minor mel (5#), Ab major (4b), Ab major (4b), Ab major (4b), C# minor (4#), E major (4#), E minor (1#), F# minor (3#), D# minor (6#), G# minor mel (5#), G# minor (5#), Ab major (4b), E dorian (4#), A dorian (3#), C# minor (4#), C# minor (4#), C# minor (4#), C# minor (4#)
F minor mel (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
C# minor mel (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ab major blues (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E major blues (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F minor blues (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
C# minor blues (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ab dorian (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E dorian (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ab phrygian (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E phrygian (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ab lydian (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E lydian (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ab mixolydian (4b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E mixolydian (4#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
